ortholog_1 MGL01089.1 g162422
ortholog_4292 MGL11293.1 g16150
ortholog_4293 MGL11236.1 g15487
ortholog_4294 MGL11196.1 g17053
ortholog_4295 MGL11107.1 g17314
ortholog_4296 MGL11184.1 g21622
ortholog_4297 MGL11222.1 g21628
ortholog_4298 MGL11253.1 g13883
ortholog_4299 MGL11208.1 g22830
ortholog_4300 MGL12052.1 g16762
ortholog_4301 MGL11988.1 g16951
ortholog_4302 MGL11893.1 g20964
ortholog_4303 MGL11863.1 g18086
ortholog_4304 MGL11588.1 g22002
ortholog_4305 MGL11043.1 g69424
ortholog_4306 MGL11010.1 g20542
ortholog_4307 MGL12096.1 g20562
ortholog_4308 MGL11157.1 g15432
ortholog_4309 MGL11195.1 g19706
ortholog_4310 MGL11235.1 g20119
ortholog_4311 MGL11772.1 g14793
ortholog_4312 MGL11265.1 g14789
ortholog_4313 MGL11292.1 g19534
ortholog_4314 MGL11327.1 g19391
ortholog_4315 MGL11611.1 g14022
ortholog_4316 MGL11724.1 g13768
ortholog_4317 MGL11800.1 g16113
ortholog_4318 MGL11843.1 g19989
ortholog_4319 MGL11907.1 g87324
ortholog_4320 MGL11935.1 g17645
ortholog_4321 MGL11966.1 g15122
ortholog_4322 MGL11240.1 g19821
ortholog_4323 MGL12001.1 g19820
ortholog_4324 MGL11564.1 g21735
ortholog_4325 MGL11054.1 g15025
ortholog_4326 MGL11456.1 g16049
ortholog_4327 MGL11250.1 g19654
ortholog_4328 MGL11181.1 g16331
ortholog_4329 MGL11142.1 g16363
ortholog_4330 MGL11105.1 g13582
ortholog_4331 MGL11951.1 g13462
ortholog_4332 MGL12082.1 g18525
ortholog_4333 MGL11029.1 g141386
ortholog_4334 MGL11264.1 g33505
ortholog_4335 MGL12084.1 g13477
ortholog_4336 MGL11990.1 g20612
ortholog_4337 MGL11530.1 g17451
ortholog_4338 MGL11496.1 g23315
ortholog_4339 MGL11428.1 g208016
ortholog_4340 MGL11346.1 g26988
ortholog_4341 MGL11478.1 g15018
ortholog_4342 MGL11774.1 g20499
ortholog_4343 MGL11221.1 g14685
ortholog_4344 MGL11106.1 g108020
ortholog_4345 MGL11989.1 g19414
ortholog_4346 MGL11952.1 g20471
ortholog_4347 MGL11785.1 g14645
ortholog_4348 MGL11457.1 g66254
ortholog_4349 MGL12024.1 g71700
ortholog_4350 MGL11272.1 g20394
ortholog_4351 MGL11030.1 g22526
ortholog_4352 MGL11143.1 g96181
ortholog_4353 MGL11251.1 g14502
ortholog_4354 MGL11895.1 g113240
ortholog_4355 MGL11865.1 g67672
ortholog_4356 MGL11671.1 g21597
ortholog_4357 MGL11825.1 g15541
ortholog_4358 MGL11784.1 g15969
ortholog_4359 MGL11711.1 g13320
ortholog_4360 MGL11669.1 g74911
ortholog_4361 MGL11632.1 g20369
ortholog_4362 MGL11695.1 g20371
ortholog_4363 MGL11194.1 g23564
ortholog_4364 MGL11118.1 g19392
ortholog_4365 MGL11042.1 g14239
ortholog_4366 MGL11064.1 g184377
ortholog_4367 MGL11104.1 g99640
ortholog_4368 MGL11702.1 g20275
ortholog_4369 MGL11846.1 g59659
ortholog_4370 MGL11368.1 g25230
ortholog_4371 MGL11455.1 g92677
ortholog_4372 MGL11379.1 g17456
ortholog_4373 MGL11450.1 g22186
ortholog_4374 MGL11524.1 g20283
ortholog_4375 MGL11125.1 g20444
ortholog_4376 MGL11741.1 g21947
ortholog_4377 MGL11780.1 g21838
ortholog_4378 MGL11860.1 g17865
ortholog_4379 MGL11630.1 g60663
ortholog_4380 MGL11399.1 g15495
ortholog_4381 MGL11470.1 g15003
ortholog_4382 MGL11510.1 g15001
ortholog_4383 MGL11725.1 g16655
ortholog_4384 MGL11688.1 g16674
ortholog_4385 MGL11453.1 g18699
ortholog_4386 MGL11527.1 g137498
ortholog_4387 MGL11442.1 g55299
ortholog_4388 MGL11429.1 g23423
ortholog_4389 MGL11385.1 g21161
ortholog_4390 MGL11347.1 g19444
ortholog_4391 MGL11597.1 g23408
ortholog_4392 MGL11854.1 g17667
ortholog_4393 MGL11673.1 g17657
ortholog_4394 MGL11715.1 g75524
ortholog_4395 MGL11749.1 g19606
ortholog_4396 MGL11065.1 g15693
ortholog_4397 MGL11864.1 g15438
ortholog_4398 MGL11944.1 g14823
ortholog_4399 MGL11712.1 g76197
ortholog_4400 MGL11670.1 g13882
ortholog_4401 MGL11633.1 g20273
ortholog_4402 MGL11595.1 g20271
ortholog_4403 MGL11000.1 g22637
ortholog_4404 MGL11810.1 g16569
ortholog_4405 MGL11968.1 g21495
ortholog_4406 MGL11868.1 g18284
ortholog_4407 MGL11831.1 g18292
ortholog_4408 MGL11599.1 g17390
ortholog_4409 MGL11569.1 g19533
ortholog_4410 MGL11533.1 g14432
ortholog_4411 MGL11699.1 g50398
ortholog_4412 MGL11336.1 g14447
ortholog_4413 MGL11892.1 g130360
ortholog_4414 MGL11497.1 g17751
ortholog_4415 MGL11674.1 g20969
ortholog_4416 MGL11928.1 g84409
ortholog_4417 MGL11867.1 g16836
ortholog_4418 MGL11851.1 g16830
ortholog_4419 MGL11830.1 g16821
ortholog_4420 MGL11787.1 g14108
ortholog_4421 MGL12025.1 g19149
ortholog_4422 MGL11991.1 g20047
ortholog_4423 MGL12004.1 g15655
ortholog_4424 MGL11126.1 g15658
ortholog_4425 MGL12000.1 g18504
ortholog_4426 MGL11806.1 g186765
ortholog_4427 MGL11934.1 g201220
ortholog_4428 MGL11067.1 g18674
ortholog_4429 MGL11108.1 g15315
ortholog_4430 MGL12039.1 g15316
ortholog_4431 MGL11146.1 g23364
ortholog_4432 MGL12093.1 g22739
ortholog_4433 MGL11316.1 g13351
ortholog_4434 MGL11348.1 g21406
ortholog_4435 MGL11386.1 g21418
ortholog_4436 MGL11430.1 g15309
ortholog_4437 MGL11631.1 g17852
ortholog_4438 MGL11134.1 g14806
ortholog_4439 MGL11216.1 g19334
ortholog_4440 MGL11102.1 g14262
ortholog_4441 MGL11675.1 g17384
ortholog_4442 MGL11751.1 g17376
ortholog_4443 MGL11832.1 g17100
ortholog_4444 MGL12044.1 g20447
ortholog_4445 MGL11164.1 g35443
ortholog_4446 MGL11767.1 g95781
ortholog_4447 MGL11513.1 g140865
ortholog_4448 MGL11972.1 g44721
ortholog_4449 MGL12086.1 g193726
ortholog_4450 MGL11069.1 g14409
ortholog_4451 MGL11148.1 g19986
ortholog_4452 MGL11186.1 g21331
ortholog_4453 MGL11224.1 g17027
ortholog_4454 MGL11256.1 g15711
ortholog_4455 MGL11317.1 g15705
ortholog_4456 MGL12015.1 g15677
ortholog_4457 MGL11388.1 g22406
ortholog_4458 MGL11676.1 g16288
ortholog_4459 MGL11833.1 g21544
ortholog_4460 MGL11898.1 g21557
ortholog_4461 MGL11930.1 g21921
ortholog_4462 MGL11956.1 g13692
ortholog_4463 MGL11992.1 g15629
ortholog_4464 MGL11572.1 g13528
ortholog_4465 MGL11638.1 g196180
ortholog_4466 MGL11677.1 g23277
ortholog_4467 MGL11717.1 g63206
ortholog_4468 MGL11790.1 g16098
ortholog_4469 MGL11834.1 g15190
ortholog_4470 MGL11870.1 g15186
ortholog_4471 MGL11899.1 g18379
ortholog_4472 MGL11811.1 g88025
ortholog_4473 MGL11016.1 g21325
ortholog_4474 MGL11420.1 g41310
ortholog_4475 MGL11210.1 g177321
ortholog_4476 MGL12027.1 g20372
ortholog_4477 MGL12057.1 g21812
ortholog_4478 MGL11416.1 g21817
ortholog_4479 MGL11033.1 g21802
ortholog_4480 MGL11159.1 g21806
ortholog_4481 MGL11111.1 g65185
ortholog_4482 MGL11172.1 g65704
ortholog_4483 MGL11290.1 g14079
ortholog_4484 MGL11357.1 g14052
ortholog_4485 MGL11436.1 g20289
ortholog_4486 MGL11579.1 g14922
ortholog_4487 MGL11799.1 g19482
ortholog_4488 MGL11842.1 g160938
ortholog_4489 MGL12010.1 g9025
ortholog_4490 MGL11942.1 g40304
ortholog_4491 MGL12089.1 g16382
ortholog_4492 MGL11004.1 g21538
ortholog_4493 MGL11073.1 g21171
ortholog_4494 MGL11152.1 g20126
ortholog_4495 MGL11190.1 g15625
ortholog_4496 MGL11300.1 g30555
ortholog_4497 MGL11209.1 g93186
ortholog_4498 MGL11046.1 g42460
ortholog_4499 MGL11519.1 g47038
ortholog_4500 MGL12098.1 g36355
ortholog_4501 MGL11585.1 g119054
ortholog_4502 MGL11299.1 g45892
ortholog_4503 MGL11366.1 g212768
ortholog_4504 MGL11098.1 g159258
ortholog_4505 MGL11055.1 g59529
ortholog_4506 MGL11486.1 g124754
ortholog_4507 MGL11080.1 g118705
ortholog_4508 MGL11939.1 g171217
ortholog_4509 MGL11439.1 g199037
ortholog_4510 MGL11661.1 g3201
ortholog_4511 MGL11163.1 g150976
ortholog_4512 MGL11550.1 g123309
ortholog_4513 MGL11853.1 g167124
ortholog_4514 MGL11229.1 g19545
ortholog_4515 MGL11877.1 g16146
ortholog_4516 MGL11798.1 g27740
ortholog_4517 MGL11578.1 g139913
ortholog_4518 MGL11435.1 g22707
ortholog_4519 MGL11356.1 g23350
ortholog_4520 MGL11323.1 g19551
ortholog_4521 MGL11289.1 g18429
ortholog_4522 MGL11791.1 g17365
ortholog_4523 MGL11754.1 g14566
ortholog_4524 MGL11718.1 g23333
ortholog_4525 MGL11678.1 g19349
ortholog_4526 MGL11639.1 g87943
ortholog_4527 MGL11882.1 g45825
ortholog_4528 MGL11797.1 g15506
ortholog_4529 MGL11082.1 g119162
ortholog_4530 MGL11393.1 g59101
ortholog_4531 MGL11354.1 g145025
ortholog_4532 MGL11904.1 g18193
ortholog_4533 MGL11933.1 g15870
ortholog_4534 MGL11962.1 g18615
ortholog_4535 MGL11999.1 g15879
ortholog_4536 MGL12034.1 g89938
ortholog_4537 MGL11041.1 g23462
ortholog_4538 MGL12048.1 g16397
ortholog_4539 MGL11918.1 g17818
ortholog_4540 MGL11543.1 g50365
ortholog_4541 MGL11508.1 g161854
ortholog_4542 MGL11396.1 g20653
ortholog_4543 MGL11720.1 g125208
ortholog_4544 MGL11681.1 g15478
ortholog_4545 MGL11642.1 g15484
ortholog_4546 MGL11575.1 g15173
ortholog_4547 MGL11392.1 g194062
ortholog_4548 MGL11320.1 g19405
ortholog_4549 MGL12073.1 g15294
ortholog_4550 MGL11260.1 g14876
ortholog_4551 MGL11227.1 g15452
ortholog_4552 MGL11189.1 g13558
ortholog_4553 MGL11503.1 g14673
ortholog_4554 MGL11537.1 g18739
ortholog_4555 MGL11574.1 g18938
ortholog_4556 MGL11603.1 g86350
ortholog_4557 MGL11641.1 g18243
ortholog_4558 MGL11680.1 g18245
ortholog_4559 MGL11837.1 g21000
ortholog_4560 MGL11443.1 g18212
ortholog_4561 MGL11701.1 g16430
ortholog_4562 MGL11996.1 g16408
ortholog_4563 MGL12030.1 g18612
ortholog_4564 MGL12088.1 g18424
ortholog_4565 MGL11072.1 g18412
ortholog_4566 MGL11113.1 g18416
ortholog_4567 MGL11463.1 g14731
ortholog_4568 MGL11391.1 g16805
ortholog_4569 MGL11286.1 g17670
ortholog_4570 MGL11259.1 g17684
ortholog_4571 MGL11226.1 g17706
ortholog_4572 MGL11071.1 g18080
ortholog_4573 MGL11518.1 g19715
ortholog_4574 MGL11587.1 g19714
ortholog_4575 MGL12059.1 g16249
ortholog_4576 MGL11995.1 g19016
ortholog_4577 MGL11958.1 g16496
ortholog_4578 MGL11093.1 g20179
ortholog_4579 MGL11836.1 g18707
ortholog_4580 MGL11792.1 g13458
ortholog_4581 MGL11679.1 g22034
ortholog_4582 MGL11200.1 g22682
ortholog_4583 MGL11602.1 g22704
ortholog_4584 MGL11573.1 g17755
ortholog_4585 MGL11536.1 g21011
ortholog_4586 MGL11502.1 g68648
ortholog_4587 MGL11432.1 g18725
ortholog_4588 MGL12042.1 g64721
ortholog_4589 MGL11086.1 g21278
ortholog_4590 MGL11285.1 g19755
ortholog_4591 MGL11258.1 g19749
ortholog_4592 MGL11225.1 g14268
ortholog_4593 MGL11112.1 g146949
ortholog_4594 MGL11070.1 g17128
ortholog_4595 MGL12028.1 g14852
ortholog_4596 MGL12014.1 g23485
ortholog_4597 MGL11857.1 g16757
ortholog_4598 MGL11835.1 g17358
ortholog_4599 MGL11242.1 g23589
ortholog_4600 MGL11232.1 g23606
ortholog_4601 MGL11155.1 g17786
ortholog_4602 MGL11796.1 g101806
ortholog_4603 MGL11075.1 g19547
ortholog_4604 MGL11040.1 g21487
ortholog_4605 MGL11961.1 g23374
ortholog_4606 MGL11903.1 g18792
ortholog_4607 MGL11876.1 g17572
ortholog_4608 MGL11577.1 g152020
ortholog_4609 MGL11541.1 g60739
ortholog_4610 MGL11302.1 g18786
ortholog_4611 MGL11201.1 g17915
ortholog_4612 MGL11322.1 g17919
ortholog_4613 MGL11231.1 g22086
ortholog_4614 MGL11192.1 g15357
ortholog_4615 MGL11117.1 g195888
ortholog_4616 MGL11085.1 g3352
ortholog_4617 MGL11047.1 g5542
ortholog_4618 MGL12091.1 g15143
ortholog_4619 MGL12063.1 g19950
ortholog_4620 MGL11415.1 g20673
ortholog_4621 MGL11875.1 g18277
ortholog_4622 MGL11840.1 g19318
ortholog_4623 MGL12101.1 g22827
ortholog_4624 MGL11132.1 g22809
ortholog_4625 MGL11721.1 g22751
ortholog_4626 MGL11683.1 g18971
ortholog_4627 MGL10990.1 g14780
ortholog_4628 MGL11465.1 g16537
ortholog_4629 MGL11394.1 g22356
ortholog_4630 MGL11287.1 g21792
ortholog_4631 MGL11230.1 g18142
ortholog_4632 MGL11115.1 g90423
ortholog_4633 MGL11116.1 g29752
ortholog_4634 MGL11074.1 g19019
ortholog_4635 MGL11038.1 g13702
ortholog_4636 MGL11809.1 g21833
ortholog_4637 MGL12062.1 g17620
ortholog_4638 MGL12005.1 g17630
ortholog_4639 MGL11337.1 g19412
ortholog_4640 MGL12032.1 g23507
ortholog_4641 MGL11997.1 g23511
ortholog_4642 MGL11902.1 g13502
ortholog_4643 MGL11013.1 g13509
ortholog_4644 MGL11874.1 g16560
ortholog_4645 MGL11839.1 g21913
ortholog_4646 MGL11535.1 g42699
ortholog_4647 MGL11431.1 g52382
ortholog_4648 MGL11807.1 g15375
ortholog_4649 MGL11204.1 g14088
ortholog_4650 MGL12947.1 g132164
ortholog_4651 MGL12855.1 g130313
ortholog_4652 MGL12789.1 g133024
ortholog_4653 MGL12548.1 g39416
ortholog_4654 MGL12448.1 g130328
ortholog_4655 MGL12406.1 g137229
ortholog_4656 MGL12357.1 g28785
ortholog_4657 MGL12993.1 g169050
ortholog_4658 MGL12965.1 g137234
ortholog_4659 MGL12942.1 g129786
ortholog_4660 MGL12227.1 g129778
ortholog_4661 MGL12879.1 g137014
ortholog_4662 MGL12689.1 g41408
ortholog_4663 MGL12651.1 g39441
ortholog_4664 MGL12579.1 g44372
ortholog_4665 MGL12545.1 g133474
ortholog_4666 MGL12420.1 g40861
ortholog_4667 MGL13093.1 g37554
ortholog_4668 MGL13080.1 g134804
ortholog_4669 MGL12213.1 g63114
ortholog_4670 MGL12389.1 g38284
ortholog_4671 MGL12909.1 g43437
ortholog_4672 MGL12852.1 g38952
ortholog_4673 MGL12758.1 g38684
ortholog_4674 MGL12728.1 g184973
ortholog_4675 MGL13100.1 g132689
ortholog_4676 MGL12113.1 g192803
ortholog_4677 MGL12306.1 g60007
ortholog_4678 MGL12440.1 g137008
ortholog_4679 MGL12577.1 g129761
ortholog_4680 MGL12932.1 g129083
ortholog_4681 MGL12283.1 g88085
ortholog_4682 MGL12687.1 g130273
ortholog_4683 MGL12784.1 g114889
ortholog_4684 MGL12851.1 g128480
ortholog_4685 MGL12233.1 g136707
ortholog_4686 MGL12943.1 g170188
ortholog_4687 MGL12114.1 g138482
ortholog_4688 MGL12143.1 g128522
ortholog_4689 MGL12176.1 g128964
ortholog_4690 MGL12307.1 g38326
ortholog_4691 MGL12465.1 g38652
ortholog_4692 MGL12474.1 g133532
ortholog_4693 MGL12352.1 g119339
ortholog_4694 MGL13043.1 g85026
ortholog_4695 MGL12141.1 g135426
ortholog_4696 MGL12286.1 g136249
ortholog_4697 MGL12269.1 g136239
ortholog_4698 MGL12303.1 g198324
ortholog_4699 MGL12336.1 g137081
ortholog_4700 MGL12397.1 g134177
ortholog_4701 MGL12503.1 g132247
ortholog_4702 MGL12540.1 g41179
ortholog_4703 MGL12575.1 g45328
ortholog_4704 MGL12618.1 g40391
ortholog_4705 MGL12683.1 g137291
ortholog_4706 MGL12724.1 g137299
ortholog_4707 MGL12780.1 g129146
ortholog_4708 MGL12955.1 g40491
ortholog_4709 MGL12282.1 g40492
ortholog_4710 MGL12254.1 g43246
ortholog_4711 MGL12804.1 g39714
ortholog_4712 MGL12203.1 g41451
ortholog_4713 MGL12222.1 g38113
ortholog_4714 MGL12120.1 g37543
ortholog_4715 MGL13051.1 g191735
ortholog_4716 MGL12911.1 g136959
ortholog_4717 MGL12788.1 g138286
ortholog_4718 MGL12806.1 g73999
ortholog_4719 MGL12692.1 g40668
ortholog_4720 MGL12387.1 g39716
ortholog_4721 MGL12582.1 g39718
ortholog_4722 MGL12365.1 g38262
ortholog_4723 MGL12339.1 g31887
ortholog_4724 MGL12210.1 g138869
ortholog_4725 MGL12174.1 g138026
ortholog_4726 MGL12142.1 g138027
ortholog_4727 MGL12991.1 g42792
ortholog_4728 MGL12895.1 g42796
ortholog_4729 MGL12983.1 g42785
ortholog_4730 MGL12963.1 g42779
ortholog_4731 MGL12940.1 g42829
ortholog_4732 MGL12877.1 g40344
ortholog_4733 MGL12997.1 g190529
ortholog_4734 MGL13026.1 g131257
ortholog_4735 MGL13052.1 g128422
ortholog_4736 MGL13081.1 g137625
ortholog_4737 MGL13106.1 g59857
ortholog_4738 MGL13053.1 g39527
ortholog_4739 MGL13027.1 g39702
ortholog_4740 MGL12998.1 g133495
ortholog_4741 MGL12948.1 g82741
ortholog_4742 MGL12914.1 g187844
ortholog_4743 MGL12640.1 g131180
ortholog_4744 MGL12809.1 g137314
ortholog_4745 MGL12869.1 g44595
ortholog_4746 MGL12234.1 g25197
ortholog_4747 MGL12136.1 g131542
ortholog_4748 MGL12745.1 g129242
ortholog_4749 MGL12428.1 g148450
ortholog_4750 MGL12939.1 g37470
ortholog_4751 MGL12990.1 g63710
ortholog_4752 MGL12323.1 g128931
ortholog_4753 MGL12437.1 g190530
ortholog_4754 MGL12504.1 g132780
ortholog_4755 MGL12541.1 g43286
ortholog_4756 MGL12576.1 g128679
ortholog_4757 MGL12684.1 g44058
ortholog_4758 MGL12754.1 g27507
ortholog_4759 MGL12781.1 g133027
ortholog_4760 MGL12672.1 g128975
ortholog_4761 MGL12849.1 g132162
ortholog_4762 MGL12166.1 g202869
ortholog_4763 MGL12133.1 g112044
ortholog_4764 MGL12230.1 g44317
ortholog_4765 MGL12209.1 g46478
ortholog_4766 MGL12243.1 g206256
ortholog_4767 MGL12338.1 g110806
ortholog_4768 MGL12398.1 g132178
ortholog_4769 MGL12438.1 g131612
ortholog_4770 MGL12893.1 g137844
ortholog_4771 MGL12922.1 g17810
ortholog_4772 MGL12241.1 g40852
ortholog_4773 MGL12268.1 g40849
ortholog_4774 MGL12396.1 g157221
ortholog_4775 MGL12435.1 g44198
ortholog_4776 MGL12574.1 g170999
ortholog_4777 MGL12645.1 g39747
ortholog_4778 MGL12723.1 g119685
ortholog_4779 MGL12928.1 g138448
ortholog_4780 MGL12979.1 g166742
ortholog_4781 MGL12989.1 g39729
ortholog_4782 MGL12785.1 g39573
ortholog_4783 MGL12797.1 g42618
ortholog_4784 MGL12115.1 g44344
ortholog_4785 MGL12442.1 g44348
ortholog_4786 MGL12757.1 g175710
ortholog_4787 MGL12862.1 g40976
ortholog_4788 MGL12894.1 g37259
ortholog_4789 MGL12985.1 g16165
ortholog_4790 MGL12224.1 g68193
ortholog_4791 MGL12325.1 g137243
ortholog_4792 MGL12429.1 g174536
ortholog_4793 MGL12881.1 g40379
ortholog_4794 MGL12808.1 g40375
ortholog_4795 MGL12231.1 g37779
ortholog_4796 MGL13048.1 g136746
ortholog_4797 MGL12606.1 g38682
ortholog_4798 MGL12531.1 g172799
ortholog_4799 MGL12605.1 g43237
ortholog_4800 MGL12968.1 g207306
ortholog_4801 MGL12799.1 g138215
ortholog_4802 MGL12769.1 g102376
ortholog_4803 MGL12586.1 g138212
ortholog_4804 MGL13013.1 g138644
ortholog_4805 MGL12515.1 g131619
ortholog_4806 MGL12480.1 g137122
ortholog_4807 MGL12451.1 g144852
ortholog_4808 MGL12408.1 g132972
ortholog_4809 MGL12248.1 g129037
ortholog_4810 MGL12793.1 g128404
ortholog_4811 MGL12392.1 g39351
ortholog_4812 MGL12180.1 g138406
ortholog_4813 MGL12247.1 g130341
ortholog_4814 MGL12450.1 g74238
ortholog_4815 MGL12479.1 g133569
ortholog_4816 MGL12351.1 g45710
ortholog_4817 MGL12714.1 g104391
ortholog_4818 MGL12694.1 g38615
ortholog_4819 MGL12762.1 g40827
ortholog_4820 MGL12790.1 g44562
ortholog_4821 MGL12798.1 g40330
ortholog_4822 MGL12856.1 g78555
ortholog_4823 MGL12686.1 g45504
ortholog_4824 MGL12649.1 g41798
ortholog_4825 MGL12544.1 g138138
ortholog_4826 MGL12473.1 g129719
ortholog_4827 MGL12255.1 g137327
ortholog_4828 MGL12439.1 g137331
ortholog_4829 MGL12400.1 g149940
ortholog_4830 MGL12211.1 g39558
ortholog_4831 MGL12865.1 g128461
ortholog_4832 MGL12774.1 g39938
ortholog_4833 MGL12648.1 g44231
ortholog_4834 MGL12755.1 g138635
ortholog_4835 MGL12463.1 g137702
ortholog_4836 MGL12850.1 g136782
ortholog_4837 MGL12878.1 g45564
ortholog_4838 MGL12906.1 g58629
ortholog_4839 MGL12226.1 g173356
ortholog_4840 MGL12992.1 g137816
ortholog_4841 MGL13019.1 g137812
ortholog_4842 MGL12199.1 g136930
ortholog_4843 MGL12583.1 g136946
ortholog_4844 MGL12624.1 g138637
ortholog_4845 MGL12161.1 g43951
ortholog_4846 MGL12912.1 g132768
ortholog_4847 MGL12946.1 g186294
ortholog_4848 MGL12140.1 g39315
ortholog_4849 MGL12527.1 g38969
ortholog_4850 MGL12703.1 g38964
ortholog_4851 MGL13072.1 g163169
ortholog_4852 MGL12162.1 g41790
ortholog_4853 MGL13042.1 g41769
ortholog_4854 MGL12988.1 g38389
ortholog_4855 MGL12896.1 g38392
ortholog_4856 MGL12532.1 g199774
ortholog_4857 MGL12874.1 g8990
ortholog_4858 MGL12813.1 g115268
ortholog_4859 MGL12751.1 g132849
ortholog_4860 MGL12832.1 g132222
ortholog_4861 MGL12300.1 g137224
ortholog_4862 MGL12267.1 g112013
ortholog_4863 MGL12240.1 g189464
ortholog_4864 MGL12600.1 g136273
ortholog_4865 MGL12981.1 g135428
ortholog_4866 MGL12936.1 g138324
ortholog_4867 MGL12904.1 g138326
ortholog_4868 MGL12330.1 g136761
ortholog_4869 MGL12812.1 g136772
ortholog_4870 MGL12930.1 g129767
ortholog_4871 MGL12680.1 g135219
ortholog_4872 MGL12615.1 g205586
ortholog_4873 MGL12572.1 g44016
ortholog_4874 MGL12537.1 g70800
ortholog_4875 MGL12500.1 g85024
ortholog_4876 MGL12470.1 g138936
ortholog_4877 MGL12433.1 g131652
ortholog_4878 MGL12927.1 g138564
ortholog_4879 MGL12334.1 g136645
ortholog_4880 MGL12299.1 g138917
ortholog_4881 MGL12239.1 g120458
ortholog_4882 MGL12108.1 g82294
ortholog_4883 MGL12980.1 g45267
ortholog_4884 MGL12193.1 g41106
ortholog_4885 MGL13041.1 g41119
ortholog_4886 MGL12773.1 g132760
ortholog_4887 MGL12901.1 g132098
ortholog_4888 MGL12900.1 g8055
ortholog_4889 MGL13014.1 g44919
ortholog_4890 MGL12679.1 g44859
ortholog_4891 MGL12642.1 g44912
ortholog_4892 MGL12457.1 g117758
ortholog_4893 MGL12189.1 g43411
ortholog_4894 MGL12598.1 g114562
ortholog_4895 MGL12394.1 g136816
ortholog_4896 MGL12361.1 g136804
ortholog_4897 MGL12333.1 g128361
ortholog_4898 MGL12298.1 g43007
ortholog_4899 MGL12238.1 g45545
ortholog_4900 MGL12207.1 g169474
ortholog_4901 MGL12107.1 g164112
ortholog_4902 MGL12678.1 g133334
ortholog_4903 MGL12847.1 g133293
ortholog_4904 MGL12811.1 g133307
ortholog_4905 MGL12495.1 g133435
ortholog_4906 MGL12360.1 g139028
ortholog_4907 MGL12332.1 g129128
ortholog_4908 MGL12662.1 g133458
ortholog_4909 MGL12632.1 g129108
ortholog_4910 MGL12592.1 g138043
ortholog_4911 MGL12297.1 g138042
ortholog_4912 MGL12237.1 g137316
ortholog_4913 MGL12106.1 g44264
ortholog_4914 MGL13095.1 g42236
ortholog_4915 MGL13070.1 g128367
ortholog_4916 MGL13066.1 g130334
ortholog_4917 MGL12961.1 g132284
ortholog_4918 MGL12903.1 g133440
ortholog_4919 MGL12331.1 g133439
ortholog_4920 MGL12810.1 g130361
ortholog_4921 MGL12677.1 g38218
ortholog_4922 MGL12641.1 g113802
ortholog_4923 MGL12536.1 g42727
ortholog_4924 MGL12426.1 g66038
ortholog_4925 MGL12468.1 g39297
ortholog_4926 MGL12431.1 g34086
ortholog_4927 MGL12119.1 g58337
ortholog_4928 MGL13103.1 g41935
ortholog_4929 MGL13050.1 g41921
ortholog_4930 MGL12995.1 g98705
ortholog_4931 MGL12246.1 g38440
ortholog_4932 MGL12477.1 g132839
ortholog_4933 MGL12836.1 g129191
ortholog_4934 MGL12787.1 g136893
ortholog_4935 MGL12760.1 g82729
ortholog_4936 MGL12730.1 g131963
ortholog_4937 MGL12691.1 g136286
ortholog_4938 MGL12653.1 g137386
ortholog_4939 MGL12622.1 g137388
ortholog_4940 MGL12581.1 g130331
ortholog_4941 MGL12511.1 g56232
ortholog_4942 MGL12476.1 g58005
ortholog_4943 MGL12445.1 g129091
ortholog_4944 MGL12403.1 g65598
ortholog_4945 MGL12263.1 g138896
ortholog_4946 MGL12310.1 g5088
ortholog_4947 MGL12274.1 g39019
ortholog_4948 MGL13078.1 g129124
ortholog_4949 MGL12967.1 g137644
ortholog_4950 MGL12926.1 g132574
ortholog_4951 MGL12910.1 g137426
ortholog_4952 MGL12882.1 g129139
ortholog_4953 MGL12786.1 g80995
ortholog_4954 MGL12759.1 g131953
ortholog_4955 MGL12690.1 g40456
ortholog_4956 MGL12652.1 g39404
ortholog_4957 MGL12621.1 g45340
ortholog_4958 MGL12580.1 g15811
ortholog_4959 MGL12546.1 g15804
ortholog_4960 MGL12510.1 g213306
ortholog_4961 MGL12475.1 g39446
ortholog_4962 MGL12309.1 g167844
ortholog_4963 MGL12949.1 g45451
ortholog_4964 MGL12973.1 g158492
ortholog_4965 MGL13107.1 g131958
ortholog_4966 MGL12481.1 g196492
ortholog_4967 MGL12550.1 g138162
ortholog_4968 MGL12763.1 g44546
ortholog_4969 MGL12696.1 g42141
ortholog_4970 MGL12857.1 g90308
ortholog_4971 MGL12887.1 g39708
ortholog_4972 MGL12890.1 g42882
ortholog_4973 MGL12952.1 g138431
ortholog_4974 MGL12671.1 g129159
ortholog_4975 MGL12456.1 g172022
ortholog_4976 MGL12485.1 g40349
ortholog_4977 MGL12520.1 g40382
ortholog_4978 MGL12555.1 g137253
ortholog_4979 MGL12591.1 g133287
ortholog_4980 MGL12631.1 g128459
ortholog_4981 MGL12191.1 g135429
ortholog_4982 MGL12767.1 g15580
ortholog_4983 MGL12891.1 g82450
ortholog_4984 MGL12917.1 g20503
ortholog_4985 MGL13033.1 g137241
ortholog_4986 MGL13087.1 g133891
ortholog_4987 MGL13113.1 g136838
ortholog_4988 MGL12129.1 g4749
ortholog_4989 MGL12154.1 g137000
ortholog_4990 MGL12388.1 g131214
