ortholog_1 SCH00647.1 g59284
ortholog_3659 SCH11797.1 g195695
ortholog_3660 SCH12220.1 g7874
ortholog_3661 SCH11686.1 g4832
ortholog_3662 SCH12204.1 g100337
ortholog_3663 SCH12059.1 g4951
ortholog_3664 SCH12214.1 g10894
ortholog_3665 SCH11744.1 g7541
ortholog_3666 SCH12099.1 g3069
ortholog_3667 SCH12064.1 g94441
ortholog_3668 SCH11712.1 g110705
ortholog_3669 SCH11852.1 g5247
ortholog_3670 SCH11813.1 g11063
ortholog_3671 SCH12602.1 g5807
ortholog_3672 SCH11667.1 g10256
ortholog_3673 SCH12343.1 g210473
ortholog_3674 SCH11651.1 g120033
ortholog_3675 SCH11727.1 g116709
ortholog_3676 SCH11698.1 g117010
ortholog_3677 SCH12520.1 g121719
ortholog_3678 SCH11812.1 g203816
ortholog_3679 SCH12094.1 g72847
ortholog_3680 SCH12448.1 g121192
ortholog_3681 SCH11990.1 g121191
ortholog_3682 SCH12579.1 g117952
ortholog_3683 SCH12551.1 g117956
ortholog_3684 SCH12215.1 g119248
ortholog_3685 SCH12250.1 g113628
ortholog_3686 SCH12062.1 g113622
ortholog_3687 SCH12030.1 g118831
ortholog_3688 SCH11998.1 g123645
ortholog_3689 SCH12154.1 g118028
ortholog_3690 SCH11668.1 g118236
ortholog_3691 SCH12548.1 g114971
ortholog_3692 SCH11951.1 g116752
ortholog_3693 SCH11982.1 g115400
ortholog_3694 SCH11894.1 g122147
ortholog_3695 SCH12153.1 g141420
ortholog_3696 SCH11834.1 g116414
ortholog_3697 SCH12395.1 g120503
ortholog_3698 SCH12365.1 g119295
ortholog_3699 SCH12369.1 g113867
ortholog_3700 SCH12039.1 g114501
ortholog_3701 SCH12076.1 g90835
ortholog_3702 SCH11947.1 g113271
ortholog_3703 SCH12008.1 g115664
ortholog_3704 SCH11865.1 g115343
ortholog_3705 SCH12096.1 g129862
ortholog_3706 SCH11809.1 g38145
ortholog_3707 SCH12305.1 g122456
ortholog_3708 SCH11655.1 g122452
ortholog_3709 SCH11847.1 g122440
ortholog_3710 SCH12183.1 g122438
ortholog_3711 SCH12517.1 g114620
ortholog_3712 SCH11745.1 g114226
ortholog_3713 SCH12592.1 g115119
ortholog_3714 SCH12479.1 g117786
ortholog_3715 SCH12174.1 g118777
ortholog_3716 SCH12298.1 g116419
ortholog_3717 SCH12612.1 g116423
ortholog_3718 SCH11931.1 g117042
ortholog_3719 SCH12391.1 g116123
ortholog_3720 SCH12415.1 g117792
ortholog_3721 SCH12342.1 g114045
ortholog_3722 SCH11663.1 g135615
ortholog_3723 SCH12609.1 g121407
ortholog_3724 SCH11722.1 g118064
ortholog_3725 SCH11878.1 g117189
ortholog_3726 SCH12260.1 g122661
ortholog_3727 SCH11955.1 g115592
ortholog_3728 SCH11993.1 g16231
ortholog_3729 SCH11997.1 g94984
ortholog_3730 SCH12023.1 g164605
ortholog_3731 SCH11673.1 g121749
ortholog_3732 SCH12126.1 g210671
ortholog_3733 SCH11801.1 g42866
ortholog_3734 SCH11979.1 g118059
ortholog_3735 SCH11924.1 g118057
ortholog_3736 SCH12339.1 g118659
ortholog_3737 SCH12186.1 g119706
ortholog_3738 SCH12012.1 g118374
ortholog_3739 SCH11779.1 g121743
ortholog_3740 SCH11827.1 g121819
ortholog_3741 SCH12072.1 g122443
ortholog_3742 SCH12129.1 g114673
ortholog_3743 SCH12011.1 g117124
ortholog_3744 SCH12205.1 g98821
ortholog_3745 SCH12519.1 g119091
ortholog_3746 SCH12347.1 g118404
ortholog_3747 SCH12131.1 g113737
ortholog_3748 SCH12307.1 g120900
ortholog_3749 SCH11861.1 g116372
ortholog_3750 SCH12031.1 g157720
ortholog_3751 SCH12018.1 g118296
ortholog_3752 SCH12590.1 g122335
ortholog_3753 SCH12003.1 g120446
ortholog_3754 SCH11995.1 g59341
ortholog_3755 SCH12028.1 g117961
ortholog_3756 SCH11781.1 g117958
ortholog_3757 SCH12291.1 g121367
ortholog_3758 SCH12414.1 g120297
ortholog_3759 SCH11775.1 g141289
ortholog_3760 SCH12443.1 g17760
ortholog_3761 SCH11656.1 g132302
ortholog_3762 SCH11707.1 g117040
ortholog_3763 SCH12503.1 g117701
ortholog_3764 SCH11928.1 g88051
ortholog_3765 SCH12095.1 g118961
ortholog_3766 SCH11684.1 g114110
ortholog_3767 SCH11714.1 g114024
ortholog_3768 SCH12600.1 g114495
ortholog_3769 SCH12398.1 g10791
ortholog_3770 SCH11652.1 g119387
ortholog_3771 SCH11671.1 g117167
ortholog_3772 SCH12075.1 g119462
ortholog_3773 SCH12292.1 g116887
ortholog_3774 SCH12007.1 g114152
ortholog_3775 SCH11804.1 g117680
ortholog_3776 SCH11841.1 g136839
ortholog_3777 SCH11943.1 g60121
ortholog_3778 SCH11914.1 g42030
ortholog_3779 SCH11851.1 g116795
ortholog_3780 SCH12281.1 g14095
ortholog_3781 SCH12348.1 g117657
ortholog_3782 SCH11680.1 g120028
ortholog_3783 SCH12258.1 g119984
ortholog_3784 SCH12550.1 g119992
ortholog_3785 SCH12478.1 g96972
ortholog_3786 SCH11665.1 g117649
ortholog_3787 SCH11697.1 g23559
ortholog_3788 SCH11725.1 g113770
ortholog_3789 SCH12151.1 g118006
ortholog_3790 SCH11753.1 g118005
ortholog_3791 SCH12514.1 g118000
ortholog_3792 SCH11794.1 g118786
ortholog_3793 SCH12506.1 g113727
ortholog_3794 SCH12452.1 g114135
ortholog_3795 SCH12498.1 g114844
ortholog_3796 SCH11732.1 g122665
ortholog_3797 SCH12333.1 g113705
ortholog_3798 SCH11854.1 g122201
ortholog_3799 SCH12288.1 g113200
ortholog_3800 SCH12251.1 g116411
ortholog_3801 SCH12228.1 g114505
ortholog_3802 SCH12198.1 g121408
ortholog_3803 SCH12168.1 g116379
ortholog_3804 SCH12155.1 g116391
ortholog_3805 SCH12077.1 g115399
ortholog_3806 SCH11879.1 g182726
ortholog_3807 SCH12079.1 g118366
ortholog_3808 SCH12259.1 g115111
ortholog_3809 SCH12180.1 g42409
ortholog_3810 SCH12328.1 g114548
ortholog_3811 SCH12420.1 g120720
ortholog_3812 SCH12582.1 g120680
ortholog_3813 SCH12306.1 g132060
ortholog_3814 SCH12421.1 g121229
ortholog_3815 SCH12299.1 g113873
ortholog_3816 SCH11784.1 g185006
ortholog_3817 SCH12616.1 g114241
ortholog_3818 SCH11760.1 g120366
ortholog_3819 SCH11728.1 g114499
ortholog_3820 SCH12161.1 g120236
ortholog_3821 SCH11840.1 g118033
ortholog_3822 SCH12274.1 g122152
ortholog_3823 SCH11761.1 g119872
ortholog_3824 SCH12010.1 g119869
ortholog_3825 SCH12078.1 g208512
ortholog_3826 SCH12344.1 g140261
ortholog_3827 SCH12242.1 g117114
ortholog_3828 SCH12434.1 g116136
ortholog_3829 SCH12406.1 g114636
ortholog_3830 SCH12188.1 g119676
ortholog_3831 SCH12156.1 g113785
ortholog_3832 SCH12546.1 g113103
ortholog_3833 SCH12576.1 g113710
ortholog_3834 SCH12226.1 g113995
ortholog_3835 SCH12217.1 g122530
ortholog_3836 SCH12325.1 g120845
ortholog_3837 SCH12181.1 g118720
ortholog_3838 SCH12170.1 g114731
ortholog_3839 SCH12410.1 g119263
ortholog_3840 SCH12297.1 g130783
ortholog_3841 SCH12614.1 g119255
ortholog_3842 SCH12482.1 g117131
ortholog_3843 SCH11657.1 g121462
ortholog_3844 SCH11862.1 g118272
ortholog_3845 SCH11917.1 g117265
ortholog_3846 SCH12461.1 g122325
ortholog_3847 SCH12184.1 g118890
ortholog_3848 SCH12536.1 g114960
ortholog_3849 SCH12553.1 g118630
ortholog_3850 SCH11677.1 g131271
ortholog_3851 SCH12113.1 g157064
ortholog_3852 SCH12465.1 g157083
ortholog_3853 SCH12524.1 g167052
ortholog_3854 SCH11844.1 g130544
ortholog_3855 SCH12240.1 g8528
ortholog_3856 SCH12290.1 g127775
ortholog_3857 SCH12412.1 g136579
ortholog_3858 SCH11661.1 g134438
ortholog_3859 SCH12127.1 g137291
ortholog_3860 SCH11792.1 g129978
ortholog_3861 SCH11689.1 g129416
ortholog_3862 SCH12571.1 g84788
ortholog_3863 SCH12511.1 g30964
ortholog_3864 SCH12413.1 g130661
ortholog_3865 SCH12441.1 g98086
ortholog_3866 SCH13280.1 g19179
ortholog_3867 SCH13785.1 g203339
ortholog_3868 SCH13639.1 g203346
ortholog_3869 SCH12908.1 g163560
ortholog_3870 SCH12753.1 g31077
ortholog_3871 SCH13447.1 g188704
ortholog_3872 SCH12909.1 g44579
ortholog_3873 SCH13293.1 g197094
ortholog_3874 SCH13662.1 g74280
ortholog_3875 SCH12722.1 g203324
ortholog_3876 SCH12681.1 g116871
ortholog_3877 SCH12764.1 g198847
ortholog_3878 SCH12826.1 g198864
ortholog_3879 SCH12650.1 g166706
ortholog_3880 SCH13421.1 g197051
ortholog_3881 SCH13594.1 g60273
ortholog_3882 SCH13691.1 g130459
ortholog_3883 SCH12952.1 g198122
ortholog_3884 SCH13048.1 g199783
ortholog_3885 SCH13800.1 g15739
ortholog_3886 SCH13531.1 g72737
ortholog_3887 SCH13150.1 g138356
ortholog_3888 SCH13697.1 g100662
ortholog_3889 SCH13602.1 g200205
ortholog_3890 SCH13718.1 g200186
ortholog_3891 SCH12657.1 g171677
ortholog_3892 SCH13489.1 g202088
ortholog_3893 SCH13270.1 g135517
ortholog_3894 SCH13294.1 g199541
ortholog_3895 SCH13570.1 g198917
ortholog_3896 SCH13359.1 g9090
ortholog_3897 SCH12987.1 g9105
ortholog_3898 SCH13201.1 g178603
ortholog_3899 SCH13068.1 g54731
ortholog_3900 SCH13198.1 g159072
ortholog_3901 SCH13630.1 g196341
ortholog_3902 SCH13651.1 g25211
ortholog_3903 SCH12959.1 g198621
ortholog_3904 SCH13081.1 g200071
ortholog_3905 SCH12815.1 g196688
ortholog_3906 SCH13137.1 g196679
ortholog_3907 SCH12770.1 g95527
ortholog_3908 SCH13025.1 g90372
ortholog_3909 SCH12902.1 g94647
ortholog_3910 SCH13229.1 g198715
ortholog_3911 SCH13706.1 g201030
ortholog_3912 SCH12783.1 g201032
ortholog_3913 SCH13329.1 g202628
ortholog_3914 SCH13427.1 g199521
ortholog_3915 SCH13060.1 g199516
ortholog_3916 SCH13756.1 g200041
ortholog_3917 SCH13806.1 g198388
ortholog_3918 SCH12861.1 g200896
ortholog_3919 SCH13331.1 g201351
ortholog_3920 SCH13459.1 g200359
ortholog_3921 SCH13722.1 g184469
ortholog_3922 SCH12645.1 g199216
ortholog_3923 SCH13530.1 g200039
ortholog_3924 SCH13582.1 g28311
ortholog_3925 SCH12944.1 g199779
ortholog_3926 SCH12833.1 g203286
ortholog_3927 SCH13154.1 g200442
ortholog_3928 SCH12732.1 g200443
ortholog_3929 SCH13430.1 g200444
ortholog_3930 SCH13789.1 g199275
ortholog_3931 SCH13809.1 g199280
ortholog_3932 SCH12719.1 g203003
ortholog_3933 SCH13827.1 g125201
ortholog_3934 SCH12790.1 g168301
ortholog_3935 SCH12654.1 g202583
ortholog_3936 SCH13077.1 g111666
ortholog_3937 SCH13328.1 g202954
ortholog_3938 SCH13595.1 g203280
ortholog_3939 SCH13803.1 g200474
ortholog_3940 SCH13536.1 g201057
ortholog_3941 SCH12758.1 g116870
ortholog_3942 SCH12794.1 g197427
ortholog_3943 SCH12823.1 g201698
ortholog_3944 SCH13685.1 g203505
ortholog_3945 SCH13189.1 g203569
ortholog_3946 SCH13418.1 g200332
ortholog_3947 SCH13381.1 g201387
ortholog_3948 SCH13796.1 g198897
ortholog_3949 SCH12690.1 g198891
ortholog_3950 SCH13525.1 g28844
ortholog_3951 SCH12819.1 g62591
ortholog_3952 SCH13155.1 g162188
ortholog_3953 SCH12672.1 g76360
ortholog_3954 SCH13134.1 g98056
ortholog_3955 SCH13044.1 g201392
ortholog_3956 SCH13221.1 g145101
ortholog_3957 SCH12743.1 g196507
ortholog_3958 SCH12670.1 g137201
ortholog_3959 SCH13802.1 g196493
ortholog_3960 SCH13448.1 g188607
ortholog_3961 SCH13041.1 g106754
ortholog_3962 SCH13022.1 g204339
ortholog_3963 SCH13065.1 g122972
ortholog_3964 SCH13051.1 g152772
ortholog_3965 SCH12752.1 g50612
ortholog_3966 SCH12854.1 g14333
ortholog_3967 SCH13281.1 g85528
ortholog_3968 SCH13456.1 g122122
ortholog_3969 SCH13399.1 g136659
ortholog_3970 SCH12838.1 g35904
ortholog_3971 SCH12848.1 g199042
ortholog_3972 SCH13815.1 g91234
ortholog_3973 SCH13644.1 g198064
ortholog_3974 SCH13571.1 g199094
ortholog_3975 SCH12799.1 g61724
ortholog_3976 SCH13361.1 g198085
ortholog_3977 SCH12913.1 g189001
ortholog_3978 SCH13162.1 g199550
ortholog_3979 SCH12739.1 g203167
ortholog_3980 SCH13192.1 g203150
ortholog_3981 SCH13754.1 g201617
ortholog_3982 SCH12860.1 g81427
ortholog_3983 SCH13369.1 g203046
ortholog_3984 SCH12643.1 g203125
ortholog_3985 SCH13125.1 g114073
ortholog_3986 SCH13290.1 g25790
ortholog_3987 SCH13258.1 g204186
ortholog_3988 SCH12933.1 g200515
ortholog_3989 SCH13380.1 g203360
ortholog_3990 SCH13782.1 g202202
ortholog_3991 SCH12696.1 g196749
ortholog_3992 SCH13438.1 g200028
ortholog_3993 SCH12943.1 g200382
ortholog_3994 SCH13097.1 g203796
ortholog_3995 SCH12981.1 g202490
ortholog_3996 SCH13295.1 g18639
ortholog_3997 SCH12716.1 g203162
ortholog_3998 SCH13742.1 g203330
ortholog_3999 SCH13279.1 g22417
ortholog_4000 SCH13095.1 g131153
ortholog_4001 SCH13255.1 g166198
ortholog_4002 SCH13558.1 g80403
ortholog_4003 SCH13547.1 g200033
ortholog_4004 SCH13494.1 g184478
ortholog_4005 SCH13222.1 g165616
ortholog_4006 SCH13814.1 g203042
ortholog_4007 SCH12776.1 g115533
ortholog_4008 SCH12744.1 g40293
ortholog_4009 SCH13618.1 g212561
ortholog_4010 SCH13461.1 g192968
ortholog_4011 SCH13696.1 g144493
ortholog_4012 SCH13775.1 g25144
ortholog_4013 SCH12664.1 g53959
ortholog_4014 SCH12983.1 g47038
ortholog_4015 SCH13245.1 g205375
ortholog_4016 SCH12728.1 g20061
ortholog_4017 SCH12809.1 g13737
ortholog_4018 SCH13392.1 g195218
ortholog_4019 SCH13453.1 g49479
ortholog_4020 SCH13655.1 g42105
ortholog_4021 SCH13316.1 g92299
ortholog_4022 SCH13693.1 g73915
ortholog_4023 SCH12729.1 g42057
ortholog_4024 SCH12630.1 g178278
ortholog_4025 SCH12700.1 g165067
ortholog_4026 SCH12779.1 g130897
ortholog_4027 SCH13687.1 g130899
ortholog_4028 SCH13675.1 g130795
ortholog_4029 SCH12969.1 g130804
ortholog_4030 SCH13522.1 g135609
ortholog_4031 SCH12958.1 g74725
ortholog_4032 SCH13788.1 g129949
ortholog_4033 SCH12921.1 g133838
ortholog_4034 SCH12941.1 g138907
ortholog_4035 SCH12727.1 g132684
ortholog_4036 SCH12687.1 g132960
ortholog_4037 SCH13549.1 g93063
ortholog_4038 SCH13146.1 g134973
ortholog_4039 SCH12742.1 g128244
ortholog_4040 SCH12755.1 g131918
ortholog_4041 SCH13335.1 g203132
ortholog_4042 SCH13173.1 g203131
ortholog_4043 SCH13565.1 g196628
ortholog_4044 SCH13157.1 g204180
ortholog_4045 SCH13119.1 g199955
ortholog_4046 SCH12991.1 g201893
ortholog_4047 SCH13181.1 g201839
ortholog_4048 SCH13113.1 g203807
ortholog_4049 SCH12682.1 g202451
ortholog_4050 SCH12895.1 g200279
ortholog_4051 SCH12930.1 g180330
ortholog_4052 SCH12827.1 g200315
ortholog_4053 SCH12870.1 g201843
ortholog_4054 SCH12967.1 g196474
ortholog_4055 SCH13443.1 g197301
ortholog_4056 SCH13413.1 g197319
ortholog_4057 SCH12821.1 g135999
ortholog_4058 SCH13752.1 g12582
ortholog_4059 SCH13801.1 g198723
ortholog_4060 SCH13790.1 g85002
ortholog_4061 SCH13243.1 g200321
ortholog_4062 SCH12705.1 g182469
ortholog_4063 SCH12856.1 g196477
ortholog_4064 SCH13780.1 g46866
ortholog_4065 SCH13689.1 g200868
ortholog_4066 SCH12824.1 g202018
ortholog_4067 SCH13110.1 g202029
ortholog_4068 SCH13614.1 g200808
ortholog_4069 SCH13786.1 g176088
ortholog_4070 SCH13481.1 g61883
ortholog_4071 SCH12915.1 g9897
ortholog_4072 SCH13514.1 g114492
ortholog_4073 SCH12866.1 g59384
ortholog_4074 SCH12828.1 g8862
ortholog_4075 SCH13496.1 g148751
ortholog_4076 SCH13596.1 g110428
ortholog_4077 SCH13151.1 g203712
ortholog_4078 SCH12674.1 g202427
ortholog_4079 SCH13564.1 g202429
ortholog_4080 SCH13521.1 g202882
ortholog_4081 SCH13751.1 g202879
ortholog_4082 SCH13129.1 g200164
ortholog_4083 SCH13076.1 g199165
ortholog_4084 SCH12884.1 g203943
ortholog_4085 SCH13253.1 g203941
ortholog_4086 SCH13036.1 g201026
ortholog_4087 SCH13266.1 g199500
ortholog_4088 SCH12644.1 g202677
ortholog_4089 SCH13812.1 g202673
ortholog_4090 SCH12635.1 g200096
ortholog_4091 SCH13664.1 g190153
ortholog_4092 SCH13403.1 g200719
ortholog_4093 SCH13389.1 g167700
ortholog_4094 SCH13680.1 g200996
ortholog_4095 SCH13397.1 g199115
ortholog_4096 SCH13727.1 g41585
ortholog_4097 SCH13131.1 g200202
ortholog_4098 SCH13080.1 g197983
ortholog_4099 SCH12897.1 g199001
ortholog_4100 SCH13559.1 g208590
ortholog_4101 SCH13067.1 g32812
ortholog_4102 SCH13747.1 g197619
ortholog_4103 SCH13088.1 g202653
ortholog_4104 SCH13716.1 g197082
ortholog_4105 SCH13272.1 g127819
ortholog_4106 SCH13798.1 g202106
ortholog_4107 SCH13038.1 g42162
ortholog_4108 SCH13669.1 g201017
ortholog_4109 SCH13179.1 g200263
ortholog_4110 SCH12883.1 g168278
ortholog_4111 SCH13180.1 g159123
ortholog_4112 SCH12997.1 g199650
ortholog_4113 SCH12996.1 g202481
ortholog_4114 SCH13251.1 g202848
ortholog_4115 SCH13031.1 g179805
ortholog_4116 SCH12994.1 g200450
ortholog_4117 SCH13444.1 g202133
ortholog_4118 SCH13765.1 g197976
ortholog_4119 SCH13726.1 g203774
ortholog_4120 SCH13567.1 g204274
ortholog_4121 SCH13432.1 g204270
ortholog_4122 SCH13483.1 g204269
ortholog_4123 SCH13223.1 g197950
ortholog_4124 SCH13759.1 g123926
ortholog_4125 SCH13681.1 g94691
ortholog_4126 SCH12975.1 g59363
ortholog_4127 SCH12893.1 g202821
ortholog_4128 SCH13158.1 g197518
ortholog_4129 SCH12880.1 g198375
ortholog_4130 SCH13117.1 g198344
ortholog_4131 SCH13147.1 g93262
ortholog_4132 SCH12710.1 g199439
ortholog_4133 SCH13649.1 g196951
ortholog_4134 SCH12805.1 g197960
ortholog_4135 SCH13367.1 g200434
ortholog_4136 SCH13469.1 g196620
ortholog_4137 SCH13153.1 g199136
ortholog_4138 SCH13211.1 g201578
ortholog_4139 SCH13612.1 g198775
ortholog_4140 SCH13457.1 g89660
ortholog_4141 SCH13768.1 g197792
ortholog_4142 SCH12976.1 g58557
ortholog_4143 SCH12648.1 g198173
ortholog_4144 SCH13816.1 g180117
ortholog_4145 SCH12692.1 g198057
ortholog_4146 SCH13254.1 g67533
ortholog_4147 SCH12721.1 g200904
ortholog_4148 SCH13637.1 g199648
ortholog_4149 SCH12691.1 g184082
ortholog_4150 SCH13556.1 g118505
ortholog_4151 SCH13410.1 g197978
ortholog_4152 SCH13548.1 g201729
ortholog_4153 SCH13376.1 g200059
ortholog_4154 SCH12760.1 g201019
ortholog_4155 SCH13435.1 g203982
ortholog_4156 SCH13487.1 g202193
ortholog_4157 SCH13267.1 g202186
ortholog_4158 SCH13339.1 g61097
ortholog_4159 SCH12808.1 g78999
ortholog_4160 SCH12730.1 g66994
ortholog_4161 SCH12957.1 g203358
ortholog_4162 SCH13128.1 g203704
ortholog_4163 SCH12628.1 g204335
ortholog_4164 SCH13318.1 g200765
ortholog_4165 SCH13619.1 g200799
ortholog_4166 SCH12789.1 g200802
ortholog_4167 SCH13440.1 g83854
ortholog_4168 SCH12889.1 g195710
ortholog_4169 SCH13777.1 g199359
ortholog_4170 SCH12918.1 g203671
ortholog_4171 SCH12954.1 g197097
ortholog_4172 SCH13058.1 g203984
ortholog_4173 SCH14626.1 g109093
ortholog_4174 SCH13927.1 g107383
ortholog_4175 SCH14185.1 g103170
ortholog_4176 SCH14049.1 g111875
ortholog_4177 SCH14097.1 g112058
ortholog_4178 SCH14067.1 g110272
ortholog_4179 SCH14647.1 g108441
ortholog_4180 SCH14144.1 g112328
ortholog_4181 SCH14120.1 g105379
ortholog_4182 SCH14380.1 g10697
ortholog_4183 SCH14164.1 g105371
ortholog_4184 SCH13880.1 g112706
ortholog_4185 SCH14303.1 g112294
ortholog_4186 SCH14444.1 g106230
ortholog_4187 SCH14435.1 g163248
ortholog_4188 SCH14043.1 g104230
ortholog_4189 SCH14276.1 g112714
ortholog_4190 SCH14310.1 g106019
ortholog_4191 SCH14245.1 g112696
ortholog_4192 SCH14398.1 g105071
ortholog_4193 SCH14432.1 g112686
ortholog_4194 SCH14483.1 g111720
ortholog_4195 SCH13965.1 g214329
ortholog_4196 SCH14220.1 g18464
ortholog_4197 SCH14441.1 g91989
ortholog_4198 SCH13870.1 g98938
ortholog_4199 SCH14605.1 g93268
ortholog_4200 SCH14633.1 g98526
ortholog_4201 SCH14698.1 g96956
ortholog_4202 SCH14525.1 g93928
ortholog_4203 SCH14499.1 g95755
ortholog_4204 SCH14614.1 g89940
ortholog_4205 SCH13905.1 g89937
ortholog_4206 SCH14032.1 g89486
ortholog_4207 SCH13998.1 g91965
ortholog_4208 SCH14101.1 g93801
ortholog_4209 SCH14334.1 g99571
ortholog_4210 SCH13996.1 g89678
ortholog_4211 SCH14577.1 g90196
ortholog_4212 SCH13916.1 g98102
ortholog_4213 SCH14428.1 g32019
ortholog_4214 SCH14113.1 g100250
ortholog_4215 SCH14418.1 g100249
ortholog_4216 SCH14489.1 g114051
ortholog_4217 SCH13991.1 g91937
ortholog_4218 SCH14667.1 g99303
ortholog_4219 SCH14545.1 g92612
ortholog_4220 SCH14410.1 g97848
ortholog_4221 SCH14651.1 g91046
ortholog_4222 SCH14096.1 g94574
ortholog_4223 SCH14207.1 g92924
ortholog_4224 SCH14172.1 g148317
ortholog_4225 SCH14504.1 g94376
ortholog_4226 SCH14405.1 g40687
ortholog_4227 SCH14213.1 g212890
ortholog_4228 SCH14488.1 g98053
ortholog_4229 SCH14287.1 g98214
ortholog_4230 SCH14401.1 g110808
ortholog_4231 SCH14682.1 g100952
ortholog_4232 SCH14038.1 g100975
ortholog_4233 SCH14548.1 g52193
ortholog_4234 SCH14383.1 g95378
ortholog_4235 SCH13893.1 g94012
ortholog_4236 SCH14210.1 g94021
ortholog_4237 SCH14238.1 g92606
ortholog_4238 SCH14075.1 g90561
ortholog_4239 SCH14011.1 g92865
ortholog_4240 SCH14198.1 g90363
ortholog_4241 SCH14539.1 g95028
ortholog_4242 SCH13969.1 g83186
ortholog_4243 SCH14726.1 g96655
ortholog_4244 SCH14225.1 g91946
ortholog_4245 SCH14429.1 g91944
ortholog_4246 SCH14392.1 g11047
ortholog_4247 SCH14602.1 g132531
ortholog_4248 SCH14513.1 g95051
ortholog_4249 SCH14455.1 g91415
ortholog_4250 SCH14519.1 g90388
ortholog_4251 SCH14566.1 g93669
ortholog_4252 SCH13859.1 g90382
ortholog_4253 SCH13888.1 g187269
ortholog_4254 SCH13890.1 g91203
ortholog_4255 SCH14344.1 g96896
ortholog_4256 SCH14319.1 g96083
ortholog_4257 SCH13848.1 g96140
ortholog_4258 SCH14255.1 g93954
ortholog_4259 SCH14341.1 g91943
ortholog_4260 SCH14500.1 g172799
ortholog_4261 SCH14613.1 g91963
ortholog_4262 SCH14353.1 g98436
ortholog_4263 SCH14019.1 g8973
ortholog_4264 SCH13985.1 g93698
ortholog_4265 SCH14166.1 g98719
ortholog_4266 SCH14503.1 g93210
ortholog_4267 SCH14661.1 g88852
ortholog_4268 SCH14138.1 g196298
ortholog_4269 SCH14033.1 g175041
ortholog_4270 SCH14314.1 g112991
ortholog_4271 SCH14654.1 g90992
ortholog_4272 SCH13931.1 g56485
ortholog_4273 SCH14244.1 g166913
ortholog_4274 SCH14652.1 g48005
ortholog_4275 SCH14357.1 g18585
ortholog_4276 SCH14112.1 g122388
ortholog_4277 SCH13972.1 g28678
ortholog_4278 SCH14008.1 g93898
ortholog_4279 SCH14414.1 g93906
ortholog_4280 SCH14128.1 g93921
ortholog_4281 SCH14582.1 g98958
ortholog_4282 SCH14248.1 g93672
ortholog_4283 SCH14007.1 g184367
ortholog_4284 SCH14452.1 g99469
ortholog_4285 SCH13875.1 g23928
ortholog_4286 SCH13978.1 g52816
ortholog_4287 SCH14434.1 g99732
ortholog_4288 SCH14439.1 g185959
ortholog_4289 SCH14367.1 g185938
ortholog_4290 SCH14340.1 g96059
ortholog_4291 SCH14312.1 g90404
ortholog_4292 SCH13997.1 g93667
ortholog_4293 SCH14186.1 g101194
ortholog_4294 SCH14413.1 g51648
ortholog_4295 SCH14363.1 g92002
ortholog_4296 SCH14051.1 g93986
ortholog_4297 SCH14036.1 g156787
ortholog_4298 SCH14631.1 g75304
ortholog_4299 SCH14680.1 g96588
ortholog_4300 SCH13992.1 g95743
ortholog_4301 SCH14595.1 g187281
ortholog_4302 SCH14606.1 g187260
ortholog_4303 SCH14596.1 g95136
ortholog_4304 SCH14203.1 g96216
ortholog_4305 SCH14339.1 g91912
ortholog_4306 SCH13895.1 g95362
ortholog_4307 SCH14381.1 g147174
ortholog_4308 SCH14040.1 g12697
ortholog_4309 SCH14660.1 g95745
ortholog_4310 SCH14722.1 g96948
ortholog_4311 SCH14305.1 g90604
ortholog_4312 SCH14202.1 g95647
ortholog_4313 SCH14445.1 g118809
ortholog_4314 SCH14290.1 g101186
ortholog_4315 SCH14324.1 g16996
ortholog_4316 SCH14542.1 g93678
ortholog_4317 SCH14493.1 g98018
ortholog_4318 SCH14061.1 g97953
ortholog_4319 SCH14421.1 g97945
ortholog_4320 SCH14419.1 g97938
ortholog_4321 SCH14090.1 g98713
ortholog_4322 SCH14424.1 g94747
ortholog_4323 SCH13959.1 g96581
ortholog_4324 SCH13989.1 g94363
ortholog_4325 SCH14015.1 g92617
ortholog_4326 SCH14235.1 g100231
ortholog_4327 SCH14584.1 g177025
ortholog_4328 SCH14159.1 g101000
ortholog_4329 SCH14554.1 g101225
ortholog_4330 SCH14547.1 g109926
ortholog_4331 SCH13920.1 g5184
ortholog_4332 SCH13983.1 g14793
ortholog_4333 SCH13901.1 g7038
ortholog_4334 SCH14286.1 g99218
ortholog_4335 SCH14495.1 g100479
ortholog_4336 SCH14574.1 g100469
ortholog_4337 SCH14037.1 g94005
ortholog_4338 SCH14697.1 g94909
ortholog_4339 SCH14384.1 g101495
ortholog_4340 SCH14632.1 g101484
ortholog_4341 SCH14471.1 g89564
ortholog_4342 SCH14701.1 g90962
ortholog_4343 SCH14541.1 g131268
ortholog_4344 SCH14725.1 g97392
ortholog_4345 SCH14252.1 g100247
ortholog_4346 SCH14590.1 g168899
ortholog_4347 SCH14181.1 g168900
ortholog_4348 SCH14695.1 g92479
ortholog_4349 SCH13897.1 g98312
ortholog_4350 SCH14182.1 g174641
ortholog_4351 SCH14619.1 g95500
ortholog_4352 SCH13891.1 g11214
ortholog_4353 SCH13911.1 g201530
ortholog_4354 SCH14688.1 g91596
ortholog_4355 SCH14716.1 g91598
ortholog_4356 SCH14656.1 g117425
ortholog_4357 SCH14683.1 g90251
